id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
stepn,0.143917,428362937,-4.71738,0.151042,0.137528,4.11,0.085266,15-11-2024_16-26-58
astar,0.057305,423673668,-2.48198,0.05877,0.054996,0.421574,0.03269521,15-11-2024_16-26-58
echelon-prime,8.49,420382505,-4.09578,8.85,8.1,28.0,1.19,15-11-2024_16-26-58
compound-governance-token,47.56,420237557,-1.62273,48.34,45.42,910.54,25.74,15-11-2024_16-26-58
memecoin-2,0.01373929,419355492,-8.4261,0.01502138,0.01259574,0.056324,0.00808778,15-11-2024_16-26-58
kava,0.387087,419025956,-3.42577,0.400818,0.367905,9.12,0.247359,15-11-2024_16-26-58
dog-go-to-the-moon-rune,0.00424791,417613202,8.41044,0.00470072,0.00344504,0.00976482,0.0018022,15-11-2024_16-26-58
bazaars,6.7,409325388,-3.57867,6.96,6.56,10.15,0.599169,15-11-2024_16-26-58
quantixai,97.58,404441216,-3.3433,101.47,95.05,105.74,0.228366,15-11-2024_16-26-58
baby-doge-coin,2.512e-09,403627040,-9.75371,2.783e-09,2.377e-09,6.345e-09,9.4771e-11,15-11-2024_16-26-58
usdb,0.991809,402937818,0.95756,1.013,0.967597,1.07,0.889651,15-11-2024_16-26-58
sweth,3322.25,402622376,-2.93217,3426.33,3239.07,4273.24,1535.26,15-11-2024_16-26-58
hashnote-usyc,1.068,401106205,0.17561,1.085,1.053,1.089,1.04,15-11-2024_16-26-58
tbtc,88623.0,399727281,-1.51481,90955.0,86653.0,92395.0,10104.3,15-11-2024_16-26-58
trust-wallet-token,0.941963,392058667,-6.24074,1.005,0.922663,2.72,0.00277641,15-11-2024_16-26-58
stader-ethx,3238.52,388497617,-3.19116,3348.88,3143.14,4143.4,1537.24,15-11-2024_16-26-58
layerzero,3.46,384212514,-4.94789,3.64,3.32,5.53,2.48,15-11-2024_16-26-58
theta-fuel,0.056713,382155422,-3.77269,0.058937,0.05462,0.68159,0.00090804,15-11-2024_16-26-58
apu-s-club,0.00117177,381481543,-3.90428,0.00125855,0.0010712,0.00132514,1.88e-06,15-11-2024_16-26-58
non-playable-coin,0.0470227,378553908,7.49671,0.0470246,0.03905187,0.0470246,4.561e-05,15-11-2024_16-26-58
iotex,0.03945342,372474845,-2.23597,0.04035576,0.03730096,0.255593,0.00121576,15-11-2024_16-26-58
binance-peg-busd,1.005,369325997,0.26855,1.01,0.991593,1.064,0.954278,15-11-2024_16-26-58
livepeer,10.24,367058559,-6.31901,10.94,9.75,99.03,0.354051,15-11-2024_16-26-58
staked-frax-ether,3409.81,359980597,-3.30653,3534.06,3336.47,7545.09,1147.58,15-11-2024_16-26-58
compound-wrapped-btc,1791.97,359707826,-2.19885,1839.35,1747.35,1874.9,91.15,15-11-2024_16-26-58
reserve-rights-token,0.00679601,358221141,-4.61276,0.00719485,0.00644381,0.117424,0.00121354,15-11-2024_16-26-58
1inch,0.279678,357165520,-3.44676,0.289662,0.267157,8.65,0.214183,15-11-2024_16-26-58
jito-governance-token,2.77,356680598,-9.50339,3.06,2.67,6.01,1.45,15-11-2024_16-26-58
department-of-government-efficiency,0.3554,355307207,-12.82487,0.413928,0.278474,0.512231,9.953e-05,15-11-2024_16-26-58
zetachain,0.68334,353893123,-2.09565,0.697967,0.641684,2.85,0.344857,15-11-2024_16-26-58
curve-dao-token,0.286499,352874974,-3.56962,0.30035,0.279052,15.37,0.180354,15-11-2024_16-26-58
usual-usd,1.001,352544870,0.1686,1.005,0.992148,1.33,0.976542,15-11-2024_16-26-58
ethereum-pow-iou,3.22,346437092,-6.83042,3.46,3.08,58.54,1.17,15-11-2024_16-26-58
holotoken,0.00194858,345775491,-4.22959,0.00203463,0.00184461,0.03126682,0.0002202,15-11-2024_16-26-58
polygon-bridged-wbtc-polygon-pos,88966.0,342578296,-2.05373,91388.0,86808.0,92855.0,49937.0,15-11-2024_16-26-58
liquid-staked-ethereum,3286.75,339875520,-3.9521,3424.05,3226.68,4264.83,1384.61,15-11-2024_16-26-58
dymension,1.57,335633227,-4.98728,1.65,1.47,8.5,0.972884,15-11-2024_16-26-58
celo,0.603805,334197455,-7.24228,0.650949,0.580362,9.82,0.362124,15-11-2024_16-26-58
amp-token,0.00412638,332734485,-1.58012,0.00422384,0.00404112,0.120813,0.00140933,15-11-2024_16-26-58
constitutiondao,0.065488,332009167,-13.80778,0.076205,0.062084,0.185022,0.0009194,15-11-2024_16-26-58
golem,0.328766,328308898,-2.14767,0.335982,0.312864,1.32,0.00913753,15-11-2024_16-26-58
wemix-token,0.78803,326163213,-0.6285,0.814123,0.769127,24.71,0.128398,15-11-2024_16-26-58
simon-s-cat,4.85e-05,325806227,-6.26891,6.156e-05,4.507e-05,6.156e-05,1.099e-05,15-11-2024_16-26-58
dogs-2,0.00063169,324713224,-8.43563,0.00069812,0.0005969,0.00163299,0.00047328,15-11-2024_16-26-58
pumpbtc,88593.0,324115140,-1.85919,90816.0,85274.0,92770.0,48890.0,15-11-2024_16-26-58
just,0.03268414,323521346,-6.24558,0.03523076,0.03189218,0.193254,0.00476275,15-11-2024_16-26-58
zilliqa,0.01680425,321591517,-1.24992,0.01701695,0.01599092,0.255376,0.00239616,15-11-2024_16-26-58
benqi-liquid-staked-avax,37.66,318554443,-2.33134,38.59,35.84,103.55,9.25,15-11-2024_16-26-58
